PCA_Components,Number_of_Samples,Elapsed_Time_MeanShift,Number_of_Clusters,Silhouette_Score
5,500,13.982032775878906,7,0.4101053043002246
6,500,24.447999715805054,7,0.4112176195945571
7,500,33.12444067001343,9,0.3520836629207765
8,500,42.97156739234924,8,0.3480009699321922
9,500,59.20621228218079,11,0.3347353231766465
10,500,55.96195459365845,10,0.3661962087971901
15,500,49.24809718132019,9,0.3480384272693762
20,500,37.87899947166443,14,0.3146408087086482
5,5000,14.131052494049072,7,0.4164908909142502
6,5000,23.34920883178711,7,0.4060201148495843
7,5000,37.25827479362488,9,0.3430088892993692
8,5000,41.0018322467804,8,0.3483204961252308
9,5000,56.84812879562378,9,0.3411346036451507
10,5000,54.47345471382141,9,0.379109631571447
15,5000,47.39235162734985,7,0.3724334614845055
20,5000,31.50636410713196,8,0.3027882457308924
5,20000,16.11131191253662,7,0.4102187422799425
10,20000,56.78642177581787,9,0.3791129856271772
15,20000,46.64927387237549,7,0.3725980761112183
20,20000,33.171947956085205,8,0.30459384870198325
